Key,Stop Name,Latitude,Longitude
342,Jai Bhavaninagar,18.5093233,73.812005
343,Pratiknagar,18.5080957,73.8094352
344,Vanaj Corner,18.5073217,73.807385
345,Vanaj Company,18.5069871,73.8039874
346,Kachara Depot Kothrud,18.5074139,73.7992668
347,Bharatinagar,18.5077293,73.7969151
348,Kothrud Depot,18.5078574,73.7949404
349,Shinde Farm,18.5083,73.7904167
350,Chandani Chowk,18.5078283,73.7832567
351,Bavdhangaon,18.5169433,73.7812533
352,Bavdhan Phata,18.5225967,73.77984
353,Bharat Ele Company,18.525975,73.7817767
354,Pashan Tank Rasta,18.52692,73.7903483
355,Pashan,18.5374767,73.79555
356,Kokate Aali,18.53898,73.793805
357,Pandavnagar Pashan,18.5408833,73.7932433
358,Dattamandir Pashan Road,18.5427483,73.7891267
359,Shubhtej Mangal Karyalay,18.5433317,73.7858067
360,Sai Chowk Pashan Sus Road,18.5439767,73.7827567
361,Abhinav College,18.54508,73.7787933
362,Girme Park,18.55005,73.7722367
363,Yashoda Niwas,18.563775,73.76763
364,Radha Hotel,18.5698583,73.7650617
365,Balewadi Stadium,18.574791,73.7634467
366,Digambar Marble,18.5828983,73.760515
367,Wakad Bridge,18.5913433,73.7571917
368,Sawtamali Mandir,18.5918933,73.755115
369,Jakat Naka Hinjawadi,18.5908367,73.7497117
370,Shivratna Mangal Karyalaya,18.590711,73.747824
371,Hinjawadigaon,18.5907867,73.7418
372,Hinjawadi Police Station,18.5862969,73.7356376
373,Infosys Phase 1,18.5862817,73.7334017
374,Cognizant Company,18.591185,73.73297
375,Geometric,18.5933067,73.7323533
376,Bank Of Maharashtra Hinjawadi,18.5940825,73.7296555
377,Wipro Company Circle,18.596717,73.7183501
378,Emcure,18.5959861,73.713552
379,Infosys Phase 2,18.5936556,73.7083572
380,Power House Hinjawadi,18.5889946,73.7051792
381,DLF,18.58537,73.696985
382,Mahindra Tech,18.5810018,73.6877745
383,Hinjawadi - Maan Phase 3,18.5764536,73.6883983
384,Kothrud Depot,18.50788,73.79493
385,Bharatinagar,18.507874,73.797121
386,Kachara Depot Kothrud,18.50761,73.79931
387,Vanaj Company,18.507173,73.804092
388,Vanaj Corner,18.50758,73.80785
389,Pratiknagar,18.50844,73.8102
390,Jai Bhavaninagar,18.50956,73.81243
391,Anandnagar Kothrud,18.50981939,73.81481985
392,Ideal Colony,18.510769,73.816953
393,More Vidyalay,18.50997369,73.82118524
394,Paud Phata,18.50683391,73.82395579
395,SNDT College,18.50733362,73.82847352
396,Nal Stop,18.508992,73.83181
397,Sonal Hall,18.51059585,73.83488016
398,Garware College,18.5124025,73.83857721
399,Deccan Corner,18.51432,73.84188
400,Sahitya Parishad,18.51092,73.84576
401,Maharashtra Mandal,18.50961789,73.84747488
402,SP College,18.507065,73.851542
403,Madiwale Colony,18.50621574,73.8526495
404,Hirabaug,18.504402,73.854897
405,Swargate Corner,18.50158,73.85788
406,Swargate,18.49884456,73.85847244
407,Lakshminarayan,18.4968945,73.85821462
408,ST Colony,18.49300987,73.85795456
409,Bhapkar Petrol Pump,18.48978374,73.85754339
410,Natubaug,18.48182312,73.85732352
411,Padmawati,18.47502529,73.85632064
412,Shankar Maharaj Math,18.471545,73.856998
413,Balajinagar,18.4645365,73.85823328
414,Bharati Vidyapeeth Gate,18.45682939,73.85854084
415,Sarpodyan,18.45409,73.85867
416,Morebaug,18.44988311,73.85818768
417,Katraj,18.44628671,73.85908524
418,Morebaug,18.4498609,73.8580875
419,Sarpodyan,18.4539162,73.8583602
420,Shankar Maharaj Math,18.4715786,73.8566653
421,ST Colony,18.4930302,73.8576863
422,Nehru Stadium,18.501165,73.855365
423,Paud Phata,18.5072067,73.8234233
424,More Vidyalay,18.5104033,73.8195583
425,Ideal Colony,18.5100767,73.8170567
426,Jai Bhavaninagar,18.5093319,73.8120971
427,Pratiknagar,18.5082687,73.810154
428,Vanaj Corner,18.5072867,73.80737
429,Vanaj Company,18.5069133,73.8041233
430,Kothrud Depot,18.5076717,73.7946615
431,DSK Vishwa,18.4432471,73.7989159
432,Chavanmala,18.4470633,73.8037167
433,Dhayarigaon,18.4475365,73.8102799
434,Poultry Farm Dhayari,18.4505354,73.8110498
435,Raikarvasti,18.452673,73.8113861
436,Garmal,18.4555239,73.8117549
437,Dangatvasti,18.4571838,73.8118034
438,Dhayari Phata,18.4597696,73.8126523
439,Patil Colony,18.4626408,73.8147093
440,Vadgaon Bk Phata,18.4660683,73.8167405
441,Indian Hume Pipe,18.4699122,73.8202168
442,Manikbaug,18.4732666,73.8215713
443,Ganesh Park,18.4753431,73.822504
444,Anandnagar Sinhagad Road,18.4775999,73.8235549
445,Hingne,18.480978,73.8256204
446,Vitthalwadi Sinhagad Road,18.4846668,73.827858
447,Rajaram Pul,18.48762,73.8288433
448,Rajaram Pul Corner,18.489345,73.8267217
449,Vitthal Mandir Shreeman Society,18.4899979,73.8255768
450,Shreeman Society,18.492054,73.8202438
451,Shipra Society,18.4926583,73.818205
452,Canal Corner,18.4907,73.8177583
453,Provision Stores,18.4890367,73.8157967
454,Karvenagar,18.4893646,73.814559
455,Vadacha Stop,18.4915295,73.8151627
456,Gandhi Bhavan Phata,18.4954052,73.8132935
457,Khothrud Stand,18.4997635,73.8136609
458,Karve Putala,18.5022564,73.8161774
459,Maruti Mandir Kothrud,18.5037537,73.8202896
460,Paud Phata,18.5062313,73.8260346
461,Sonal Hall,18.5105038,73.834779
462,Garware College,18.5123253,73.8385616
463,Deccan Corner,18.5137889,73.8414793
464,Deccan Gymkhana,18.516465,73.8435583
465,Deccan Gymkhana,18.5167483,73.8430567
466,Deccan Corner,18.5136948,73.8415222
467,Nal Stop,18.5089639,73.8320538
468,SNDT College,18.5073198,73.82884
469,Paud Phata,18.5060507,73.8261713
470,Maruti Mandir Kothrud,18.5036341,73.8204237
471,Karve Putala,18.5021686,73.8162203
472,Khothrud Stand,18.499733,73.8138165
473,Gandhi Bhavan Phata,18.4954166,73.8134329
474,Vadacha Stop,18.4915371,73.8153021
475,Karvenagar,18.4893265,73.8146744
476,Provision Stores,18.4891367,73.8166033
477,Canal Corner,18.4909567,73.8178267
478,Shipra Society,18.4919917,73.8180667
479,Vitthal Mandir Shreeman Society,18.490135,73.824855
480,Rajaram Pul Corner,18.4881917,73.8283717
481,Rajaram Pul,18.48735,73.8289
482,Vitthalwadi Sinhagad Road,18.4846694,73.8279894
483,Hingne,18.4809042,73.8257759
484,Anandnagar Sinhagad Road,18.4775567,73.8236783
485,Ganesh Park,18.4757789,73.8229
486,Manikbaug,18.4732691,73.821692
487,Indian Hume Pipe,18.4698906,73.8202972
488,Vadgaon Bk Phata,18.4659754,73.8168371
489,Patil Colony,18.4625988,73.8147965
490,Dhayari Phata,18.4604835,73.8127823
491,Dangatvasti,18.4571724,73.8117752
492,Garmal,18.4540493,73.8116776
493,Poultry Farm Dhayari,18.4505667,73.8111133
494,Chavanmala,18.4471883,73.804975
495,DSK Vishwa,18.4430844,73.7988225
496,Medi Point,18.5650253,73.8023682
497,DP Road,18.562965,73.802795
498,DP Road Corner,18.5604973,73.8061489
499,ITI Aundh,18.5602684,73.8092041
500,Anand Park,18.5559858,73.8092567
501,Sanewadi,18.5533918,73.8095701
502,Baner Phata,18.550265,73.8096313
503,Sindh Colony Baner Road,18.5488148,73.8130188
504,Sakalnagar,18.5465972,73.8191912
505,Chavannagar,18.5444241,73.8240662
506,Pune Vidhyapeeth Gate,18.5419617,73.8292923
507,E Square,18.5381133,73.8347249
508,Pumping Station,18.5332279,73.8413518
509,Mhasoba Gate,18.5324294,73.8425326
510,Simla Office,18.5303809,73.849225
511,COEP Hostel,18.5286215,73.8523207
512,Shivaji Putala,18.526617,73.8525619
513,Ma Na Pa,18.5238616,73.8541689
514,Balgandharv,18.5224171,73.8478493
515,Natraj Talkies,18.5189133,73.8449583
516,Deccan Gymkhana,18.5167408,73.8429184
517,Deccan Gymkhana,18.5167611,73.8429506
518,Goodluck Chowk,18.518055,73.8414612
519,Fergusson College,18.5227947,73.8409508
520,Dnyaneshwar Paduka,18.5269121,73.8422642
521,Police Line,18.5266037,73.8440018
522,Modern HighSchool,18.5246964,73.8494797
523,Sawarkar Bhavan,18.5223533,73.8495933
524,Ma Na Pa,18.5238056,73.854126
525,Shivaji Putala,18.5265458,73.8524413
526,Simla Office,18.5303059,73.8490982
527,Mhasoba Gate,18.5325756,73.8420715
528,Pumping Station,18.5342147,73.8396653
529,Mafatlal Bungalow,18.5375617,73.8350933
530,Rangehills Corner,18.5388177,73.8335577
531,Pune Vidhyapeeth Gate,18.541832,73.8291381
532,Chavannagar,18.5443325,73.8239294
533,Sakalnagar,18.5464954,73.8191376
534,Baner Phata,18.5504151,73.8095374
535,Sanewadi,18.5533848,73.8094662
536,Anand Park,18.5559807,73.8091736
537,ITI Aundh,18.5602703,73.809131
538,DP Road Corner,18.5602783,73.8036817
539,DP Road,18.5628895,73.8027486
540,Medi Point,18.5650419,73.8023822
